"Arquivo","Namespace","Classe","Interface","Trait","Enum","Linhas","TamanhoKB"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\EntityExtractor.php","namespace SOLPI\Knowledge;","final class EntityExtractor",,,,"157","2,85"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\HtmlImporter.php","namespace SOLPI\Knowledge;","final class HtmlImporter",,,,"46","0,7"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\ImportEngine.php","namespace SOLPI\Knowledge;","final class ImportEngine",,,,"51","0,84"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\ImporterInterface.php","namespace SOLPI\Knowledge;",,"interface ImporterInterface",,,"10","0,15"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\ImportFactory.php","namespace SOLPI\Knowledge;","final class ImportFactory",,,,"33","0,6"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\JsonImporter.php","namespace SOLPI\Knowledge;","final class JsonImporter implements ImporterInterface",,,,"30","0,47"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\KnowledgeEngine.php","namespace SOLPI\Knowledge;","final class KnowledgeEngine",,,,"82","1,51"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\KnowledgeEntity.php","namespace SOLPI\Knowledge;","final class KnowledgeEntity",,,,"83","1,35"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\KnowledgeGraph.php","namespace SOLPI\Knowledge;","final class KnowledgeGraph",,,,"70","1,25"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\KnowledgeGraphEngine.php","namespace SOLPI\Knowledge;","final class KnowledgeGraphEngine",,,,"66","1,02"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\KnowledgeMemory.php","namespace SOLPI\Knowledge;","final class KnowledgeMemory",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\KnowledgeRelationship.php","namespace SOLPI\Knowledge;","final class KnowledgeRelationship",,,,"51","0,86"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\ManufacturerExtractor.php","namespace SOLPI\Knowledge\Extractors;","final class ManufacturerExtractor",,,,"65","0,81"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\MemoryEngine.php","namespace SOLPI\Knowledge;","final class MemoryEngine",,,,"54","0,85"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\RelationshipBuilder.php","namespace SOLPI\Knowledge;","final class RelationshipBuilder",,,,"40","0,68"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\SyncEngine.php","namespace SOLPI\Knowledge;","final class SyncEngine",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\TxtImporter.php","namespace SOLPI\Knowledge;","final class TxtImporter implements ImporterInterface",,,,"16","0,23"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\XmlImporter.php","namespace SOLPI\Knowledge;","final class XmlImporter implements ImporterInterface",,,,"30","0,49"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Builders\EntityBuilder.php","namespace SOLPI\Knowledge\Builders;","final class EntityBuilder",,,,"80","1,89"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Builders\RelationshipBuilder.php","namespace SOLPI\Knowledge\Builders;","final class RelationshipBuilder",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Extractors\AssetExtractor.php","namespace SOLPI\Knowledge;","final class AssetExtractor",,,,"54","0,71"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Extractors\CompanyExtractor.php","namespace SOLPI\Knowledge;","final class CompanyExtractor",,,,"50","0,9"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Extractors\ContractExtractor.php","namespace SOLPI\Knowledge\Extractors;","final class ContractExtractor",,,,"41","0,6"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Extractors\LicenseExtractor.php","namespace SOLPI\Knowledge;","final class LicenseExtractor",,,,"56","0,82"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Extractors\ManufacturerExtractor.php","namespace SOLPI\Knowledge\Extractors;","final class ManufacturerExtractor",,,,"65","0,81"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Extractors\ModelExtractor.php","namespace SOLPI\Knowledge\Extractors;","final class ModelExtractor",,,,"33","0,51"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Extractors\SerialExtractor.php","namespace SOLPI\Knowledge\Extractors;","final class SerialExtractor",,,,"33","0,43"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Extractors\UserExtractor.php","namespace SOLPI\Knowledge;","final class UserExtractor",,,,"35","0,51"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Extractors\WarrantyExtractor.php","namespace SOLPI\Knowledge\Extractors;","final class WarrantyExtractor",,,,"38","0,53"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Graph\Edge.php","namespace SOLPI\Knowledge\Graph;","final class Edge",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Graph\Graph.php","namespace SOLPI\Knowledge\Graph;","final class Graph",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Graph\Node.php","namespace SOLPI\Knowledge\Graph;","final class Node",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Memory\ConversationMemory.php","namespace SOLPI\Knowledge\Memory;","final class ConversationMemory",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Memory\MemoryRepository.php","namespace SOLPI\Knowledge\Memory;","final class MemoryRepository",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Parsers\CsvParser.php","namespace SOLPI\Knowledge\Parsers;","final class CsvParser",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Parsers\DocxParser.php","namespace SOLPI\Knowledge\Parsers;","final class DocxParser",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Parsers\ExcelParser.php","namespace SOLPI\Knowledge\Parsers;","final class ExcelParser",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Parsers\HtmlParser.php","namespace SOLPI\Knowledge\Parsers;","final class HtmlParser",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Parsers\JsonParser.php","namespace SOLPI\Knowledge\Parsers;","final class JsonParser",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Parsers\PdfParser.php","namespace SOLPI\Knowledge\Parsers;","final class PdfParser",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Parsers\XmlParser.php","namespace SOLPI\Knowledge\Parsers;","final class XmlParser",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Repositories\KnowledgeRepository.php","namespace SOLPI\Knowledge\Repositories;","final class KnowledgeRepository",,,,"57","1,15"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\AssetMatcher.php","namespace SOLPI\Knowledge\Services;","final class AssetMatcher",,,,"47","0,86"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\ColumnDetector.php","namespace SOLPI\Knowledge\Services;","final class ColumnDetector",,,,"48","0,96"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\CompanyDetector.php","namespace SOLPI\Knowledge\Services;","final class CompanyDetector",,,,"38","0,48"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\CompanyMatcher.php","namespace SOLPI\Knowledge\Services;","final class CompanyMatcher",,,,"31","0,48"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\EntityClassifier.php","namespace SOLPI\Knowledge\Services;","final class EntityClassifier",,,,"50","0,91"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\GraphTraversal.php","namespace SOLPI\Knowledge\Services;","final class GraphTraversal",,,,"47","0,66"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\HtmlTableReader.php","namespace SOLPI\Knowledge\Services;","final class HtmlTableReader",,,,"55","0,9"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\ImportPipeline.php","namespace SOLPI\Knowledge\Services;","final class ImportPipeline",,,,"53","1,02"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\InventoryImporter.php","namespace SOLPI\Knowledge\Services;","final class InventoryImporter",,,,"57","1,03"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\KnowledgeAIEngine.php","namespace SOLPI\Knowledge\Services;","final class KnowledgeAIEngine",,,,"69","1,34"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\KnowledgeImporter.php","namespace SOLPI\Knowledge\Services;","final class KnowledgeImporter",,,,"89","1,72"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\KnowledgeSearch.php","namespace SOLPI\Knowledge\Services;","final class KnowledgeSearch",,,,"44","0,73"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\KnowledgeService.php","namespace SOLPI\Knowledge\Services;","final class KnowledgeService",,,,"35","0,62"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\KnowledgeStatistics.php","namespace SOLPI\Knowledge\Services;","final class KnowledgeStatistics",,,,"45","0,81"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\LicenseMatcher.php","namespace SOLPI\Knowledge\Services;","final class LicenseMatcher",,,,"34","0,55"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\ManufacturerDetector.php","namespace SOLPI\Knowledge\Services;","final class ManufacturerDetector",,,,"59","0,69"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\ModelDetector.php","namespace SOLPI\Knowledge\Services;","final class ModelDetector",,,,"34","0,49"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\ReasoningEngine.php","namespace SOLPI\Knowledge\Services;","final class ReasoningEngine",,,,"48","0,67"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\RelationshipResolver.php","namespace SOLPI\Knowledge\Services;","final class RelationshipResolver",,,,"54","0,8"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\SemanticSearch.php","namespace SOLPI\Knowledge\Services;","final class SemanticSearch",,,,"53","0,72"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\SerialDetector.php","namespace SOLPI\Knowledge\Services;","final class SerialDetector",,,,"34","0,39"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\SmartInventoryParser.php","namespace SOLPI\Knowledge\Services;","final class SmartInventoryParser",,,,"65","1,27"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\UserDetector.php","namespace SOLPI\Knowledge\Services;","final class UserDetector",,,,"53","0,83"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\UserMatcher.php","namespace SOLPI\Knowledge\Services;","final class UserMatcher",,,,"31","0,45"
"C:\zabbix\glpi\plugins\solpi\src\Knowledge\Services\WarrantyDetector.php","namespace SOLPI\Knowledge\Services;","final class WarrantyDetector",,,,"42","0,49"
"C:\zabbix\glpi\plugins\solpi\src\Licenses\Entities\License.php","namespace SOLPI\Licenses\Entities;","final class License",,,,"229","4,41"
"C:\zabbix\glpi\plugins\solpi\src\Licenses\Repositories\LicenseRepository.php","namespace SOLPI\Licenses\Repositories;","final class LicenseRepository",,,,"126","3,62"
"C:\zabbix\glpi\plugins\solpi\src\Licenses\Services\LicenseService.php","namespace SOLPI\Licenses\Services;","final class LicenseService",,,,"86","1,47"
"C:\zabbix\glpi\plugins\solpi\src\Modules\AI\AIController.php","namespace SOLPI\Modules\AI;","final class AIController",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Modules\AI\AIService.php","namespace SOLPI\Modules\AI;","final class AIService",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Modules\AI\Embeddings.php","namespace SOLPI\Modules\AI;","final class Embeddings",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Modules\AI\KnowledgeBase.php","namespace SOLPI\Modules\AI;","final class KnowledgeBase",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Modules\AI\PromptManager.php","namespace SOLPI\Modules\AI;","final class PromptManager",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Dashboard\DashboardCache.php","namespace SOLPI\Modules\Dashboard;","final class DashboardCache",,,,"32","0,52"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Dashboard\DashboardController.php","namespace SOLPI\Modules\Dashboard;","final class DashboardController extends Controller",,,,"24","0,43"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Dashboard\DashboardDTO.php","namespace SOLPI\Modules\Dashboard;","final class DashboardDTO",,,,"21","0,31"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Dashboard\DashboardEvent.php","namespace SOLPI\Modules\Dashboard;","final class DashboardEvent",,,,"12","0,16"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Dashboard\DashboardModel.php","namespace SOLPI\Modules\Dashboard;","final class DashboardModel",,,,"22","0,53"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Dashboard\DashboardPolicy.php","namespace SOLPI\Modules\Dashboard;","final class DashboardPolicy",,,,"25","0,49"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Dashboard\DashboardQueries.php","namespace SOLPI\Modules\Dashboard;","final class DashboardQueries",,,,"57","1,05"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Dashboard\DashboardRepository.php","namespace SOLPI\Modules\Dashboard;","final class DashboardRepository",,,,"76","1,44"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Dashboard\DashboardService.php","namespace SOLPI\Modules\Dashboard;","final class DashboardService",,,,"36","0,69"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Dashboard\DashboardStatistics.php","namespace SOLPI\Modules\Dashboard;","final class DashboardStatistics",,,,"32","0,56"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Dashboard\DashboardWidget.php","namespace SOLPI\Modules\Dashboard;","final class DashboardWidget",,,,"29","0,35"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Knowledge\KnowledgeController.php","namespace SOLPI\Modules\Knowledge;","final class KnowledgeController",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Knowledge\KnowledgeRepository.php","namespace SOLPI\Modules\Knowledge;","final class KnowledgeRepository",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Knowledge\KnowledgeService.php","namespace SOLPI\Modules\Knowledge;","final class KnowledgeService",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Notifications\NotificationController.php","namespace SOLPI\Modules\Notifications;","final class NotificationController",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Notifications\NotificationRepository.php","namespace SOLPI\Modules\Notifications;","final class NotificationRepository",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Notifications\NotificationService.php","namespace SOLPI\Modules\Notifications;","final class NotificationService",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Settings\SettingsController.php","namespace SOLPI\Modules\Settings;","final class SettingsController",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Settings\SettingsRepository.php","namespace SOLPI\Modules\Settings;","final class SettingsRepository",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Settings\SettingsService.php","namespace SOLPI\Modules\Settings;","final class SettingsService",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Tickets\TicketController.php","namespace SOLPI\Modules\Tickets;","final class TicketController",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Tickets\TicketModel.php","namespace SOLPI\Modules\Tickets;","final class TicketModel",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Tickets\TicketRepository.php","namespace SOLPI\Modules\Tickets;","final class TicketRepository",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Tickets\TicketService.php","namespace SOLPI\Modules\Tickets;","final class TicketService",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Modules\WhatsApp\EvolutionAPI.php","namespace SOLPI\Modules\WhatsApp;","final class EvolutionAPI",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Modules\WhatsApp\WhatsAppController.php","namespace SOLPI\Modules\WhatsApp;","final class WhatsAppController",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Modules\WhatsApp\WhatsAppRepository.php","namespace SOLPI\Modules\WhatsApp;","final class WhatsAppRepository",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Modules\WhatsApp\WhatsAppService.php","namespace SOLPI\Modules\WhatsApp;","final class WhatsAppService",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Zabbix\TriggerParser.php","namespace SOLPI\Modules\Zabbix;","final class TriggerParser",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Zabbix\Webhook.php","namespace SOLPI\Modules\Zabbix;","final class Webhook",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Zabbix\ZabbixController.php","namespace SOLPI\Modules\Zabbix;","final class ZabbixController",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Zabbix\ZabbixRepository.php","namespace SOLPI\Modules\Zabbix;","final class ZabbixRepository",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Modules\Zabbix\ZabbixService.php","namespace SOLPI\Modules\Zabbix;","final class ZabbixService",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Traits\LoggerTrait.php","namespace SOLPI\Traits;",,,"trait LoggerTrait",,"10","0,11"
"C:\zabbix\glpi\plugins\solpi\src\Traits\ResponseTrait.php","namespace SOLPI\Traits;",,,"trait ResponseTrait",,"10","0,11"
"C:\zabbix\glpi\plugins\solpi\src\Users\Entities\User.php","namespace SOLPI\Users\Entities;","final class User",,,,"206","3,54"
"C:\zabbix\glpi\plugins\solpi\src\Users\Repositories\UserRepository.php","namespace SOLPI\Users\Repositories;","final class UserRepository",,,,"136","3,28"
"C:\zabbix\glpi\plugins\solpi\src\Users\Services\UserService.php","namespace SOLPI\Users\Services;","final class UserService",,,,"92","1,47"
"C:\zabbix\glpi\plugins\solpi\templates\ai.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\templates\alerts.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\templates\dashboard.php",,,,,,"128","2,58"
"C:\zabbix\glpi\plugins\solpi\templates\settings.php",,,,,,"37","0,54"
"C:\zabbix\glpi\plugins\solpi\templates\tickets.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\templates\whatsapp.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\templates\layouts\footer.php",,,,,,"16","0,28"
"C:\zabbix\glpi\plugins\solpi\templates\layouts\header.php",,,,,,"34","1,38"
"C:\zabbix\glpi\plugins\solpi\templates\layouts\menu.php",,,,,,"20","0,71"
"C:\zabbix\glpi\plugins\solpi\templates\layouts\sidebar.php",,,,,,"21","0,85"
"C:\zabbix\glpi\plugins\solpi\tools\auditor.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\AuditReport.php","namespace SOLPI\Tools\Auditor;","final class AuditReport",,,,"83","1,28"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\ProjectAuditor.php",,,,,,"4","0,06"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Analyzers\ClassAnalyzer.php",,,,,,"4","0,07"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Analyzers\DuplicateAnalyzer.php",,,,,,"4","0,08"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Analyzers\DuplicateClassAnalyzer.php",,,,,,"4","0,08"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Analyzers\EmptyFileAnalyzer.php",,,,,,"4","0,08"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Analyzers\EnumAnalyzer.php",,,,,,"4","0,07"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Analyzers\InterfaceAnalyzer.php",,,,,,"4","0,08"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Analyzers\LineCounterAnalyzer.php",,,,,,"4","0,08"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Analyzers\NamespaceAnalyzer.php",,,,,,"4","0,08"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Analyzers\ProjectStatisticsAnalyzer.php",,,,,,"4","0,08"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Analyzers\StrictTypeAnalyzer.php",,,,,,"4","0,08"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Analyzers\StrictTypesAnalyzer.php",,,,,,"4","0,08"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Analyzers\TodoAnalyzer.php",,,,,,"4","0,07"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Analyzers\TraitAnalyzer.php",,,,,,"4","0,07"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Contracts\AnalyzerInterface.php",,,,,,"4","0,08"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Reports\ConsoleReport.php",,,,,,"4","0,07"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Reports\HtmlReport.php",,,,,,"4","0,07"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Reports\JsonReport.php",,,,,,"4","0,07"
"C:\zabbix\glpi\plugins\solpi\tools\Auditor\Support\FileFinder.php","namespace SOLPI\Tools\Auditor\Support;","final class FileFinder",,,,"82","1,36"
"C:\zabbix\glpi\plugins\solpi\vendor\autoload.php",,,,,,"17","0,4"
"C:\zabbix\glpi\plugins\solpi\_legacy\AlertManager.php",,"class AlertManager {",,,,"8","0,09"
"C:\zabbix\glpi\plugins\solpi\_legacy\GLPIConnector.php",,"class GLPIConnector {",,,,"17","0,25"
"C:\zabbix\glpi\plugins\solpi\_legacy\KnowledgeBase.php",,"class KnowledgeBase {",,,,"12","0,18"
"C:\zabbix\glpi\plugins\solpi\_legacy\TicketManager.php",,"class TicketManager {",,,,"12","0,15"
"C:\zabbix\glpi\plugins\solpi\_legacy\WhatsAppConnector.php",,"class WhatsAppConnector {",,,,"8","0,11"
"C:\zabbix\glpi\plugins\solpi\_legacy\ZabbixConnector.php",,"class ZabbixConnector {",,,,"8","0,1"
"C:\zabbix\glpi\plugins\solpi\_legacy\Connectors\GLPIConnector.php",,"class GLPIConnector {",,,,"17","0,28"
"C:\zabbix\glpi\plugins\solpi\_legacy\Connectors\WhatsAppConnector.php",,"class WhatsAppConnector {",,,,"8","0,11"
"C:\zabbix\glpi\plugins\solpi\_legacy\Connectors\ZabbixConnector.php",,"class ZabbixConnector {",,,,"8","0,11"
"C:\zabbix\glpi\plugins\solpi\_legacy\Controllers\DashboardController.php","namespace SOLPI\Controllers;","final class DashboardController",,,,"24","0,39"
"C:\zabbix\glpi\plugins\solpi\_legacy\Controllers\SettingsController.php","namespace SOLPI\Controllers;","final class SettingsController",,,,"17","0,26"
"C:\zabbix\glpi\plugins\solpi\_legacy\Controllers\WebhookController.php",,,,,,"4","0,07"
"C:\zabbix\glpi\plugins\solpi\_legacy\Models\Alert.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\_legacy\Models\DashboardModel.php","namespace SOLPI\Models;","final class DashboardModel",,,,"87","1,84"
"C:\zabbix\glpi\plugins\solpi\_legacy\Models\SettingsModel.php","namespace SOLPI\Models;","final class SettingsModel",,,,"25","0,43"
"C:\zabbix\glpi\plugins\solpi\_legacy\Models\Ticket.php",,,,,,"4","0,06"
"C:\zabbix\glpi\plugins\solpi\_legacy\Models\User.php",,,,,,"4","0,05"
"C:\zabbix\glpi\plugins\solpi\_legacy\Repositories\DashboardRepository.php","namespace SOLPI\Repositories;","final class DashboardRepository",,,,"27","0,38"
"C:\zabbix\glpi\plugins\solpi\_legacy\Repositories\SettingsRepository.php","namespace SOLPI\Repositories;","final class SettingsRepository",,,,"21","0,4"
"C:\zabbix\glpi\plugins\solpi\_legacy\Services\AlertService.php",,"class AlertService {",,,,"8","0,1"
"C:\zabbix\glpi\plugins\solpi\_legacy\Services\DashboardService.php","namespace SOLPI\Services;","final class DashboardService",,,,"34","0,85"
"C:\zabbix\glpi\plugins\solpi\_legacy\Services\HttpClient.php","namespace SOLPI\Services;","final class HttpClient implements HttpClientInterface",,,,"115","2,36"
"C:\zabbix\glpi\plugins\solpi\_legacy\Services\KnowledgeBaseService.php",,,,,,"4","0,07"
"C:\zabbix\glpi\plugins\solpi\_legacy\Services\NotificationService.php",,"class NotificationService {",,,,"8","0,11"
"C:\zabbix\glpi\plugins\solpi\_legacy\Services\SettingsService.php","namespace SOLPI\Services;","final class SettingsService",,,,"29","0,53"
"C:\zabbix\glpi\plugins\solpi\_legacy\Services\TicketService.php",,"class TicketService {",,,,"13","0,17"
